Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:41:31,13-06-2024 14:41:33,1.476s,PASSED
,,,,,,,
Test Cases/CAR/CAR HOME,Chrome 125.0.0.0,,,13-06-2024 14:41:33,13-06-2024 14:41:49,16.348s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:41:33,13-06-2024 14:41:34,0.836s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:41:34,13-06-2024 14:41:44,10.673s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:41:44,13-06-2024 14:41:45,0.430s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_Home""))",Chrome 125.0.0.0,,,13-06-2024 14:41:45,13-06-2024 14:41:45,0.416s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Home  Indian Council of Agricultural R_06e979/a_View All""))",Chrome 125.0.0.0,,,13-06-2024 14:41:45,13-06-2024 14:41:46,0.877s,PASSED
"click(findTestObject(""Object Repository/CAR HOMEPAGE/Page_Latest Updates  ICAR/a_Tenders""))",Chrome 125.0.0.0,,,13-06-2024 14:41:46,13-06-2024 14:41:48,1.681s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:41:48,13-06-2024 14:41:49,1.414s,PASSED
,,,,,,,
Test Cases/CAR ABOUT US,Chrome 125.0.0.0,,,13-06-2024 14:41:49,13-06-2024 14:42:07,17.398s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:41:49,13-06-2024 14:41:50,0.712s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:41:50,13-06-2024 14:42:04,13.856s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_Home  Indian Council of Agricultural R_06e979/button_Ministry of Agriculture and Farmers _55e648""))",Chrome 125.0.0.0,,,13-06-2024 14:42:04,13-06-2024 14:42:04,0.328s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_Home  Indian Council of Agricultural R_06e979/a_About Us""))",Chrome 125.0.0.0,,,13-06-2024 14:42:04,13-06-2024 14:42:05,0.411s,PASSED
"click(findTestObject(""Object Repository/CAR ABOUT US/Page_About Us  ICAR/a_Vision Documents""))",Chrome 125.0.0.0,,,13-06-2024 14:42:05,13-06-2024 14:42:05,0.908s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:42:05,13-06-2024 14:42:07,1.162s,PASSED
,,,,,,,
Test Cases/CAR DIVISIONS,Chrome 125.0.0.0,,,13-06-2024 14:42:46,13-06-2024 14:42:57,10.786s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:42:46,13-06-2024 14:42:48,1.757s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:42:48,13-06-2024 14:42:57,8.850s,PASSED
"click(findTestObject(""null""))",Chrome 125.0.0.0,,,13-06-2024 14:42:57,13-06-2024 14:42:57,0.160s,FAILED
,,,,,,,
Test Cases/CAR DOCUMENT AND REPORTS,Chrome 125.0.0.0,,,13-06-2024 14:42:57,13-06-2024 14:43:16,19.159s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:42:57,13-06-2024 14:42:59,2.187s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:42:59,13-06-2024 14:43:12,12.456s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:43:12,13-06-2024 14:43:12,0.331s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Home  Indian Council of Agricultural R_06e979/a_Documents  Reports""))",Chrome 125.0.0.0,,,13-06-2024 14:43:12,13-06-2024 14:43:12,0.393s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Annual Reports  ICAR/a_Publication Catalogue""))",Chrome 125.0.0.0,,,13-06-2024 14:43:12,13-06-2024 14:43:14,1.469s,PASSED
"click(findTestObject(""Object Repository/CAR DOCUMENT AND REPORTS/Page_Publication Catalogue  ICAR/a_Annual Reports""))",Chrome 125.0.0.0,,,13-06-2024 14:43:14,13-06-2024 14:43:15,0.725s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:43:15,13-06-2024 14:43:16,1.575s,PASSED
,,,,,,,
Test Cases/CAR NOTOFICATIONS,Chrome 125.0.0.0,,,13-06-2024 14:43:16,13-06-2024 14:43:32,15.545s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:43:16,13-06-2024 14:43:17,0.820s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:43:17,13-06-2024 14:43:27,10.086s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:43:27,13-06-2024 14:43:27,0.339s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Home  Indian Council of Agricultural R_06e979/a_Notification""))",Chrome 125.0.0.0,,,13-06-2024 14:43:27,13-06-2024 14:43:28,0.399s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Latest Updates  ICAR/a_Circulars""))",Chrome 125.0.0.0,,,13-06-2024 14:43:28,13-06-2024 14:43:29,1.239s,PASSED
"click(findTestObject(""Object Repository/CAR NOTOFICATIONS/Page_Circulars Data  ICAR/a_Tenders""))",Chrome 125.0.0.0,,,13-06-2024 14:43:29,13-06-2024 14:43:30,1.272s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:43:30,13-06-2024 14:43:32,1.369s,PASSED
,,,,,,,
Test Cases/CAR RTI,Chrome 125.0.0.0,,,13-06-2024 14:43:32,13-06-2024 14:43:47,15.750s,PASSED
"openBrowser("""")",Chrome 125.0.0.0,,,13-06-2024 14:43:32,13-06-2024 14:43:34,2.115s,PASSED
"navigateToUrl(""https://www.icar.org.in/"")",Chrome 125.0.0.0,,,13-06-2024 14:43:34,13-06-2024 14:43:44,10.437s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Home  Indian Council of Agricultural R_06e979/span_Ministry of Agriculture and Farmers We_4c7543""))",Chrome 125.0.0.0,,,13-06-2024 14:43:44,13-06-2024 14:43:45,0.310s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Home  Indian Council of Agricultural R_06e979/a_RTI""))",Chrome 125.0.0.0,,,13-06-2024 14:43:45,13-06-2024 14:43:45,0.397s,PASSED
"click(findTestObject(""Object Repository/CAR RTI/Page_Right to Information Act  ICAR/td_CircularsOrders related to RTI""))",Chrome 125.0.0.0,,,13-06-2024 14:43:45,13-06-2024 14:43:46,0.994s,PASSED
closeBrowser(),Chrome 125.0.0.0,,,13-06-2024 14:43:46,13-06-2024 14:43:47,1.476s,PASSED
